Year,Games,Season,City
1992,1992 Summer,Summer,Barcelona
2012,2012 Summer,Summer,London
1920,1920 Summer,Summer,Antwerpen
1900,1900 Summer,Summer,Paris
1988,1988 Winter,Winter,Calgary
1992,1992 Winter,Winter,Albertville
1994,1994 Winter,Winter,Lillehammer
1932,1932 Summer,Summer,Los Angeles
2002,2002 Winter,Winter,Salt Lake City
1952,1952 Summer,Summer,Helsinki
1980,1980 Winter,Winter,Lake Placid
2000,2000 Summer,Summer,Sydney
1996,1996 Summer,Summer,Atlanta
1912,1912 Summer,Summer,Stockholm
1924,1924 Summer,Summer,Paris
2014,2014 Winter,Winter,Sochi
1948,1948 Summer,Summer,London
1998,1998 Winter,Winter,Nagano
2006,2006 Winter,Winter,Torino
2008,2008 Summer,Summer,Beijing
2016,2016 Summer,Summer,Rio de Janeiro
2004,2004 Summer,Summer,Athina
1960,1960 Winter,Winter,Squaw Valley
1964,1964 Winter,Winter,Innsbruck
1984,1984 Winter,Winter,Sarajevo
1984,1984 Summer,Summer,Los Angeles
1968,1968 Summer,Summer,Mexico City
1972,1972 Summer,Summer,Munich
1988,1988 Summer,Summer,Seoul
1936,1936 Summer,Summer,Berlin
1952,1952 Winter,Winter,Oslo
1956,1956 Winter,Winter,Cortina d'Ampezzo
1956,1956 Summer,Summer,Melbourne
1960,1960 Summer,Summer,Roma
1928,1928 Summer,Summer,Amsterdam
1976,1976 Summer,Summer,Montreal
1980,1980 Summer,Summer,Moskva
1964,1964 Summer,Summer,Tokyo
2010,2010 Winter,Winter,Vancouver
1968,1968 Winter,Winter,Grenoble
1906,1906 Summer,Summer,Athina
1972,1972 Winter,Winter,Sapporo
1976,1976 Winter,Winter,Innsbruck
1924,1924 Winter,Winter,Chamonix
1904,1904 Summer,Summer,St. Louis
1928,1928 Winter,Winter,Sankt Moritz
1908,1908 Summer,Summer,London
1948,1948 Winter,Winter,Sankt Moritz
1932,1932 Winter,Winter,Lake Placid
1936,1936 Winter,Winter,Garmisch-Partenkirchen
1896,1896 Summer,Summer,Athina
1956,1956 Summer,Summer,Stockholm
